name
Планирование и прогнозирование на предприятии минерально-сырьевого комплекса
Макроэкономика
Сейсморазведка
Производственная (педагогическая практика)
Физиология высшей нервной деятельности
Социологический практикум: методическая часть
Методы контроля и анализа веществ
Экономика организации
Молниезащита
Основы финансового учета и отчетности
Гражданское право
Автоматизация управления жизненным циклом продукции
Автоматизированные системы проектирования
Экономика энергетики
Технологическое оборудование автоматизированных производств
Автоматизация и системы автоматики промышленных технологий
Введение в профессиональную деятельность
Производственная практика (Организационно-управленческая практика)
Экономика предприятия минерально-сырьевого комплекса
Электрохимическая кинетика
Производственная практика (проектная практика)
Теория эволюции
Экологическая эпидемиология
Производственная практика (практика по получению  профессиональных умений и опыта профессиональной деятельности)
Производственная практика (организационно-управленческая практика)
Производственная практика (практика по получению практических умений и опыта практической деятельности)
Операционные системы
Корпоративные ИС
Планирование и прогнозирование
Вспомогательные процессы
Химия
Зоология беспозвоночных
Строительная геотехнология
Допуск к защите
Физиология растений
Бюджетное планирование и межбюджетные отношения
Цитология
Основы геофизических методов исследования
Высшая математика
Молекулярная биология
Химическая технология
Учебная практика (научно-исследовательская работа (получение первичных навыков научно-исследовательской работы))
Культура безопасности на тепловых и атомных станциях
Минералогия
Региональная экономика
Теория принятия решений
Бухгалтерский учет
Основы научно-исследовательской работы
Вычислительный эксперимент в комплексных научных исследованиях
Современные информационные технологии и стандарты
Корпоративная социальная ответственность
Дифференциальные уравнения в горном деле
Исследование минерально-сырьевых рынков
Производственная практика (Преддипломная практика)
 Политические процессы в современном обществе 
Руководство ВКРНормоконтрольДопуск к защите
Специальные разделы математики
Работодатель в составе ГЭК (21.05.04 Горное дело)
Метрология  стандартизация и сертификация в горном деле
Электротехническое и конструкционное материаловедение
Интеллектуальные системы и технологии
Производственная практика (практика по получению профессиональных умений и опыта профессиональной деятельности  в том числе научно-исследовательской)
Член ГЭК (21.05.04 Горное дело)
Основы иммунологии
Прикладная механика
Интернет-предпринимательство
Учебная практика (практика по получению первичных навыков научно-исследовательской работы)
Основы российской государственности
Производственная практика (Технологическая (проектно-технологическая) практика)
Арктиковедение
Стандартизация и сертификация
Медицинская ботаника
Биофизические методы исследования
Ядерная физика (продвинутый уровень)
Методы оптимальных решений
Элективные дисциплины (модули) по физической культуре и спорту: Атлетическая гимнастика. Аэробика. Легкая атлетика
Гравитационные методы обогащения
Сейсмические методы исследования массивов горных пород
Рецензирование
Экономический анализ
Член ГЭК (06.03.01 Биология)
Методы и средства проектирования информационных систем и технологий
Научно-исследовательский семинар (Методология научных исследований и разработок)
Основы научно-исследовательской работы 
Функциональные наноматериалы: синтез  свойства и применение
Элементы систем автоматики
Иностранный язык (профессиональный)
Социально-экономическая статистика
Безопасность жизнедеятельности
Свободнорадикальные процессы в биосистемах
Деловой иностранный язык
Физика горных пород
Дробление: измельчение и подготовка сырья к обогащению
Средства передачи и обработки информации
Историческая геология с основами палеонтологии
Физико-химическая механика дисперсных систем
Использование SPSS в социологических исследованиях
Психология
Нормоконтроль
Технические измерения и приборы
Элективные дисциплины (модули) по физической культуре и спорту: Общая физическая подготовка
Энергетическое оборудование высокого напряжения и его надежность
Материаловедение
Основы проектирования электрических и электротехнических систем в AutoCAD
Дифференциальные уравнения
Социальная структура и стратификация
Анализ данных в социологии
Сопротивление материалов
ИКТ в электронной образовательной среде и технология создания электронного портфолио
Междисциплинарная курсовая работа
Перемещение и складирование горных масс
Высокомолекулярные соединения
Основы алгоритмизации и программирования
Политические процессы в современном обществе
Техника высоких напряжений
Организация  подготовка и презентация социологического исследования
Автоматизированный электропривод
Экономика природопользования
Межкультурное взаимодействие в современном обществе
Очистка сточных вод и оборотное водоснабжение
Введение в профессию (адаптивная дисциплина)
Геодезия
Литология
Проектирование обогатительных фабрик
Компьютерное моделирование разработки месторождений полезных ископаемых в ГГИС
Интегрированные системы управления электроприводов
Социальная философия
Теория металлургических процессов
Методы геологического картирования
Экспериментальные методы исследований
Системный анализ и теория систем
Бионеорганическая химия
Профильное программное обеспечение для решения задач профессиональной деятельности
Основы компьютерных технологий решения профессиональных задач
Основные этапы и направления исследований в области систем искусственного интеллекта
Открытая геотехнология
Горная квалиметрия и управление качеством руд при добыче
Теория информационных процессов и систем
Основы информационных технологий
Информационные технологии в технической физике
Рудничная геология
Электрооборудование и электроснабжение обогатительных фабрик
Электрооборудование и электроснабжение горных предприятий
Менеджмент
Политическая социология
Технические средства автоматизации и управления
Горно-промышленная экология
Латинский язык
Производственная практика (практика по получению профессиональных умений и опыта профессиональной деятельности)
Основы проектирования
Управление данными
Физиология человека и животных
Менеджмент качества
Физический практикум
Учебная практика  (геологическая практика)
Архитектура информационных систем
Социальное проектирование и прогнозирование
Теплотехника
Глобальные проблемы человечества
Учебная практика (геологическая практика)
Основы документационного обеспечения управления
Программирование
Оценка инвестиционных проектов
Методика преподавания современной физики в профильной школе
Контроль технологических процессов
Производственная практика (производственно-технологическая практика) (часть 2)
Производственная практика  (проектно-технологическая практика)
Микропроцессорные средства
Социологический практикум: методологическая часть
Надежность технических систем
Методика преподавания биологии
Руководство подготовкой обучающегося в магистратуре
Электротехника
Электрооборудование тепловых и атомных станций
Количественная методология и методы социологического исследования
Технологии и инструментальные средства разработки информационных систем
Член ГЭК (09.03.02 Информационные системы и технологии)
Силовая электроника
Основы социального государства и социальная политика
Производственная практика  (производственно-технологическая практика) (часть 1)
Горное право
Физико-технический контроль и мониторинг массива горных пород и процессов горного производства
Аналитическая химия
Основы противодействия коррупции
Философия
Подготовка к сдаче и сдача государственного экзамена
Учебная практика (научно-исследовательская работа) (получение первичных навыков научно-исследовательской работы))
Учебная практика (ознакомительная практика)
Учебная практика (геодезическая практика)
Политология
Правоведение
Разработка профессиональных приложений
Комплексное освоение минеральных ресурсов
Безопасность ведения горных работ и горноспасательное дело
Металловедение и термообработка
Основы совместной профессиональной деятельности и командной работы
Технологии программирования
Теоретические основы электротехники
CRM - системы в управлении организацией
Инвестиционная деятельность предприятия
Релейная защита и автоматизация электроэнергетических систем
Молекулярная биомедицина
Тепловые и атомные станции
Экономическая социология
Материалы для традиционной и альтернативной энергетики
Геология нефти и газа
Учебная практика (ознакомительная)
Геомеханика
Теория надежности информационных систем
Технологии обработки больших данных
Измерения в физическом эксперименте
Органическая химия
Муниципальное право
Геофизические исследования скважин
Коллоидная химия
Член ГЭК (39.03.01 Социология)
Месторождения полезных ископаемых
Обеспечение полного жизненного цикла ядерных технологий
Производственная практика (технологическая практика)
Флотационные методы обогащения
Процессы и аппараты химических производств
Структура и функции биомакромолекул
Производственная практика (производственно-технологическая практика) (часть 1)
Производственная практика (эксплуатационная практика (часть 1))
Финансовая деятельность предприятия минерально-сырьевого комплекса
Производственная (преддипломная практика)
Радиационная биофизика
Стратегии инвестиционного развития
Электрические и электронные аппараты
Геофизический мониторинг
Системы автоматизации и управления
Зоология позвоночных
Региональная экономика и управление
Мультимедиа технологии
Качественная методология и методы социологических исследований
Системы безопасности промышленных объектов
Маркетинг минерального сырья
Геология
Философские проблемы технической физики
Системная инженерия
Инновационный менеджмент
Социологическая диагностика и экспертиза
Основы диспетчерского управления энергообъектов
Информационная безопасность организации
Методы научных исследований
Логика
Подготовка к процедуре защиты и защита ВКР
Управление государственными и муниципальными финансами
Руководство ВКР
Неорганическая химияОрганическая и аналитическая химия
Физико-химическая геотехнология
Учебная практика (технологическая (проектно-технологическая) практика)
Испытательные и электрофизические установки
Производственная практика (научно-исследовательская работа) (НИР)
Производственная практика (проектно-технологическая практика)
Математика
Электрические машины
Социальная психология
Технология и безопасность взрывных работ
Руководство ВКРНормоконтроль
Электрические машины и электропривод машин
Защита информации
Использование подземного пространства для хранения высокотоксичных веществ
Системы разработки рудных месторождений
Рациональное недропользование
Управление затратами
Производственная практика (технологическая проектно-технологическая) практика)
Экологическое право
Электрические магнитные и специальные методы обогащения
Начертательная геометрия и инженерная графика
Русский язык и культура речи
Неравновесная термодинамика
История биофизики
Современные социологические теории
Эксплуатация систем управления
Комплексное использование сырьевых ресурсов региона
Физическая химия
Менеджмент организации
Обогащение полезных ископаемых
Технологии обогащения полезных ископаемых
Системы автоматизированного планирования и проектирования подземных горных работ
Управление  организация и планирование производства
Технологические процессы автоматизированных производств
Численные методы
Основы бионанотехнологии
Математическая логика и теория алгоритмов
Правовые основы природопользования и охраны окружающей среды
Технические средства автоматизации
Основы документооборота организации
Статистика
Современные социологические теории 
Иностранный язык
Управление инновационным развитием экономики региона
Возобновляемые источники энергии
Физическая культура и спорт
Антикризисное управление предприятием
Экологическая экспертиза
Эксплуатация электроустановок
Взрывное разрушение горных пород
Материаловедение и технология конструкционных материалов
Основы теории управления
Финансовый учет и отчетность
Линейная алгебра
Административное право
Физика Земли
Производственная практика  (производственно-технологическая практика) (часть 2)
История физики
Систематическая минералогия
Электроэнергетика
Производственная практика (технологическая практика) (часть 1))
Производственная практика (Преддипломная практика  в том числе научно-исследовательская работа)
Спецпрактикум по биофизике
Отраслевые особенности анализа и трансформации бизнес-процессов
Деловые коммуникации
Тайм-менеджмент
Радиометрические методы обогащения
Эконометрический анализ данных в SPSS
Измерительные приборы
Введение в специальность
Правовая защита интеллектуальной собственности
Гидромеханика
Инженерная и компьютерная графика
Биология размножения и развития
Социальная ответственность бизнеса
Член ГЭК (09.04.02 Информационные системы и технологии)
Производственная практика (преддипломная практика)
Учебная практика (научно-исследовательская работа) (получение первичных навыков научно-исследовательской работы)
Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО
Современные информационные технологии в социальных науках
Электроника
Администрирование в ИС
Теория конечных автоматов
Физика
Деловой и технический иностранный язык
Лидерство и командообразование
Математический анализ
Неорганическая химия
Биофизика мембранных и клеточных процессов
Теория обработки геофизической информации
Ядерная геофизика
Управление проектами
Охрана труда на предприятии
Руководство ВКРЧлен ГЭК (39.03.01 Социология)
Подземная геотехнология
Региональное природопользование
Производственный менеджмент
Информатика
Механическое оборудование при обогащении полезных ископаемых
Методы оптимизации
Психология личностного роста и профессиональные коммуникаци
Иностранный язык в сфере профессиональной деятельности
Завершающие этапы ядерного топливного цикла
Конституционное право
Производственная практика (научно-исследовательская работа)
Термодинамические процессы горного производства
Методы расчета ионных равновесий
Системы управления электроприводов
Геофизика
Дискретная математика
Проведение предэкзаменационных консультаций к государственному экзамену
Управление качеством
Технологии обработки информации
Процессы подземной разработки рудных месторождений
Маркшейдерия
Земельное право
Член ГЭК (05.03.01 Геология)
Инструментальные средства информационных систем
Управление ИТ-проектами (продвинутый уровень)
Проектирование рудников
Представление знаний в ИС
Кристаллография
Основы государственного и муниципального управления
Методы принятия управленческих решений
Биология человека (Анатомия человека)
Физико-химические основы металлургических процессов
Аналитическая геометрия
Охрана труда на предприятиях минерально-сырьевого комплекса
Структурная геология и геологическое картирование
Общая и неорганическая химия
История горного дела
Комбинированная разработка рудных месторождений
Политология 
Социальная адаптация личности
Моделирование электромеханических систем
Управление ИТ-проектами
Гидравлика
Производственная практика (технологическая практика (часть 2))
Социальная философия 
Анализ данных и машинное обучение
Токсикология
Экономика
Инфокоммуникационные системы и сети
Внешнеэкономическая деятельность предприятия
Органическая и аналитическая химия
Теория автоматического управления
Электрические и компьютерные измерения
Процессы обращения с отработанным ядерным топливом (ОЯТ) и радиационными атомными отходами (РАО)
Основы документационного обеспечения
Управление персоналом
Социология
Производственная практика (технологическая (проектно-технологическая) практика)
Производственная практика (научно-исследовательский семинар)
Физико-математические основы техники высоких напряжений
Руководство программой магистратуры
Государственная и муниципальная служба
Электрические станции и подстанции
Член ГЭК (13.03.02 Электроэнергетика и электротехника)
Электрический привод
